等级,公司名,partnerId,商家数(区间),所在省,所在市,是否有服装客户,行业关键词命中,品牌关键词命中,总命中数,资质标签,详情页链接,简介(前200字)
钻级,杭州扬趣网络科技有限公司,352300946425271,小于30家,浙江省,杭州市,是,,百丽,1,品牌全案服务/商城服务/全店服务,https://fuwu.jinritemai.com/providerHomepage?id=352300946425271,"杭州碧橙数字技术股份有限公司是国家商务部电子商务示范企业、天猫六星级服务商、阿里妈妈六星级服务商 , 1200人规模，杭州扬趣网络科技有限公司是碧橙数字全资子公司（抖音事业群），抖音电商品牌服务商，巨量全渠道一站式代理商，自有主播、自有短视频内容团队、自有直播团队、自有直播基地、自有拍摄基地，具备抖音全链路服务能力：品牌自播代运营、品牌蓝V内容运营、直播间引流投放、品牌主播孵化、明星艺人及达人带货"
钻级,浙江洛氪迅信息科技有限公司,3184642946244311,小于40家,浙江省,杭州市,是,,太平鸟/维密/百丽/潘多拉,4,品牌全案服务/商城服务/全店服务,https://fuwu.jinritemai.com/providerHomepage?id=3184642946244311,"洛氪迅于2016年成立， 拥有超过7年电商与直播经验，目前在杭州、上海均设有办公室，是抖音优秀品牌服务商、同是也是淘宝直播TOP机构。
我们致力于为品牌提供一站式抖音内容电商与营销服务，服务包括抖音蓝v账号代运营、品牌自播代运营、媒介营销运营、整合营销、新零售咨询赋能等。
我们与众多国内、国际知名品牌有着深度合作关系，包括百丽集团旗下多品牌、太平鸟、维密、潘多拉等等，能够为国际及国内一线时尚品牌实"
钻级,杭州祈飞网络科技有限公司,1671711714191133,小于60家,浙江省,杭州市,是,,adidas/Vans/The North Face/UNIQLO/MICHAEL KORS/周大福,6,品牌全案服务/短视频服务/咨询指导服务/商城服务/全店服务,https://fuwu.jinritemai.com/providerHomepage?id=1671711714191133,祈飞作为钻石认证品牌服务商；为品牌定制化打造“品效销合一”的闭环经营阵地；已服务众多国际知名品牌：adidas、The North Face、Vans、UNIQLO、MICHAEL KORS、周大福等；为合作方提供全案经营服务：包括品牌直播运营、整合营销升级、创意内容制作、蓝V阵地经营、广告投放优化等服务，帮助商家快速抢占抖音兴趣电商生态至高点。
钻级,构美(浙江)信息科技有限公司,1601345442026728,小于60家,浙江省,杭州市,是,,内外,1,品牌全案服务/品牌直播服务/撮合服务商/商城服务/全店服务,https://fuwu.jinritemai.com/providerHomepage?id=1601345442026728,构美成立于2016年，是一家以技术驱动的新流量服务商，我们聚焦数字电商发展与品牌数字化转型，基于数据化运营模式建立庞大的内容流量矩阵。持续为国内外知名品牌、新消费品牌提供STP、DP、OmniMarketing、New Retail等全链路解决方案及专业服务，助力品牌布局和运营高效流量渠道，实现品牌拓新、人群资产活跃及人群长期贡献等真实效益，提升品牌知名度及市场份额。
钻级,浙江博观瑞思科技有限公司,1539732004939998,小于60家,浙江省,杭州市,是,,阿迪达斯/FILA/波司登/内外,4,商城服务/全店服务/跨境电商运营/品牌全案服务/品牌直播服务/咨询指导服务,https://fuwu.jinritemai.com/providerHomepage?id=1539732004939998,"博观，代表纵览行业的宽度与眼界；
瑞思，代表专注领域的深度与境界；

【博观瑞思-BORGRISE】：以卓越眼界与深度提供更好更优质更具成长性的品效销服务。

博观瑞思（原安瑞信杰互动）成立于2007年，经过十余年深耕经营，目前已在上海、杭州设立双总部，在深圳、福州、厦门设立分支机构，在职员工已超600人。

多年来，博观瑞思为中国银联、波司登、阿迪达斯、肯德基、花西子等200+个国内外品牌提供营"
银牌,重庆不贰科技（集团）有限公司,7346124337956569384,大于1000家,重庆市,重庆市,是,服饰,,1,全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7346124337956569384,本公司致力于为食饮行业、服饰行业、美妆行业的商家提供店铺托管、直播/短视频卖货、广告投放等服务
银牌,江苏中服网络科技有限公司,7011813060797120805,大于1000家,江苏省,苏州市,是,服装,,1,内容服务/全店服务/商城服务,https://fuwu.jinritemai.com/providerHomepage?id=7011813060797120805,江苏中服网络科技有限公司是常熟服装城管委会为赋能市场、服务产业而打造的新零售综合服务平台，公司为抖音电商“2022抖音电商产业带服务商”，业务包括直播陪跑、广告代投、短视频拍摄培训、品牌供应链、企业内训等，立足于产业带，依托多年的行业经验，打造数据运营模式，深挖商家线上直播运营痛点，高效链接流量与品牌，提供一站式直播解决方案。
银牌,广西施福源珠宝首饰有限公司,7426355177210478860,大于500家,广西壮族自治区,北海市,是,珠宝,,1,全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7426355177210478860,广西施福源直播基地位于北海市云南路6号中国珍珠城2、3层，总经营面积7581.85平米，施福源公司是做南珠首饰的设计生产从原材料、设计、加工制造到销售的一条龙的珠宝首饰产业链，叠加直播基地和直播运营中心。
银牌,温州宗远文化传媒有限公司,7390679654052446491,大于400家,浙江省,温州市,是,服装/配饰,,2,全店服务/视频拍摄,https://fuwu.jinritemai.com/providerHomepage?id=7390679654052446491,温州宗远信息技术服务有限公司成立于2021年，主要从事互联网抖音/快手电商运营，电商直播带货电商短视频带货，内容策划，文案视频编辑制作、直播千川投流等。目前服务温州本土企业 500+家.
银牌,株洲可真有文化传媒有限公司,7391004485167874338,大于300家,湖南省,株洲市,是,服饰,,1,全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7391004485167874338,公司拥有完善的电商运营、培训、投放团队，致力于为中小商家提供一站式孵化服务，帮助商家从零起步、在抖音电商里取得满意的收获。
